Time,Energy
23459,19868.19
23460,19818.06
23461,19670.63
23462,20347.3
23463,20799.79
23464,20932.73
23465,20946.5
23466,21573.83
23467,21778.25
23468,19971.63
23469,18094.96
23470,16706.08
23471,15708.59
23472,15110.05
23473,14903.6
23474,14927.36
23475,15243.95
23476,16016.54
23477,18297.53
23478,20113.95
23479,20974.59
23480,20870.59
23481,20346.83
23482,20261.06
23483,20400.33
23484,20282.59
23485,20381.31
23486,20770.14
23487,20999.34
23488,21254.95
23489,21259.3
23490,22039.65
23491,22199.14
23492,20341.1
23493,18512.73
23494,17216.64
23495,16066.51
23496,15492.78
23497,15227.5
23498,15200.0
23499,15549.29
23500,16196.58
23501,18357.93
23502,20301.48
23503,21187.29
23504,21034.74
23505,20538.7
23506,20425.54
23507,20579.91
23508,20534.73
23509,20352.95
23510,20816.49
23511,21151.53
23512,21432.19
23513,21212.0
23514,21995.44
23515,22059.11
23516,20250.98
23517,18451.69
23518,16983.81
23519,16001.68
23520,15483.43
23521,15124.55
23522,15135.48
23523,15433.4
23524,16185.48
23525,18338.11
23526,20369.13
23527,21255.1
23528,21173.53
23529,20682.78
23530,20562.85
23531,20614.34
23532,20610.19
23533,20512.83
23534,21098.93
23535,21290.64
23536,21471.75
23537,21344.21
23538,21868.16
23539,21820.75
23540,20031.03
23541,18369.48
23542,17112.96
23543,16009.8
23544,15446.89
23545,15083.09
23546,14933.29
23547,15041.49
23548,14972.43
23549,15567.81
23550,16732.38
23551,17791.65
23552,18271.25
23553,18239.58
23554,18193.85
23555,17978.9
23556,17957.75
23557,17791.04
23558,17970.4
23559,18078.31
23560,18301.86
23561,18283.04
23562,18719.53
23563,18669.4
23564,17348.61
23565,16156.96
23566,14902.39
23567,14064.43
23568,13412.7
23569,12998.11
23570,12908.1
23571,12938.63
23572,12985.95
23573,13060.34
23574,14050.65
23575,15159.09
23576,15878.6
23577,15903.01
23578,15710.96
23579,15565.31
23580,15504.86
23581,15631.38
23582,15804.99
23583,16277.28
23584,16638.5
23585,17038.6
23586,17958.19
23587,18092.49
23588,17119.13
23589,16189.85
23590,15138.96
23591,14356.23
23592,13944.85
23593,13774.9
23594,13779.59
23595,14191.75
23596,15153.59
23597,17782.09
23598,20032.29
23599,21137.63
23600,21124.56
23601,20821.56
23602,20946.7
23603,21118.88
23604,21157.5
23605,21194.28
23606,21663.79
23607,21866.94
23608,22002.74
23609,21776.48
23610,22705.46
23611,22681.05
23612,20874.54
23613,18824.18
23614,17449.61
23615,16447.53
23616,16001.25
23617,15734.99
23618,15633.85
23619,15958.14
23620,16776.04
23621,18940.56
23622,20882.7
23623,21547.69
23624,21745.79
23625,21487.49
23626,21687.5
23627,21787.74
23628,21713.11
23629,21734.83
23630,22182.66
23631,22339.65
23632,22253.04
23633,22184.98
23634,22961.83
23635,22852.78
23636,21012.33
23637,18986.29
23638,17662.04
23639,16579.91
23640,16017.29
23641,15730.61
23642,15795.9
23643,16059.05
23644,16622.89
23645,18351.53
23646,20602.8
23647,21566.34
23648,21581.63
23649,21475.1
23650,21718.65
23651,21839.78
23652,22001.78
23653,21887.29
23654,21956.16
23655,22113.38
23656,21931.6
23657,21682.83
23658,22616.55
23659,22324.14
23660,20599.61
23661,18790.94
23662,17498.05
23663,16435.54
23664,15790.01
23665,15555.98
23666,15482.78
23667,15616.49
23668,16490.89
23669,18723.05
23670,20706.65
23671,21762.48
23672,21888.73
23673,21635.59
23674,21817.96
23675,21842.46
23676,21714.79
23677,21151.36
23678,21321.33
23679,21494.34
23680,21212.4
23681,21081.31
23682,22167.99
23683,21949.53
23684,20239.63
23685,18440.61
23686,17240.75
23687,16205.81
23688,15687.48
23689,15343.4
23690,15363.59
23691,15644.74
23692,16370.89
23693,18482.78
23694,20207.45
23695,20969.5
23696,20706.54
23697,20165.25
23698,20057.95
23699,20037.04
23700,19948.95
23701,20140.91
23702,20633.41
23703,20717.63
23704,20926.74
23705,20726.43
23706,21499.38
23707,20989.06
23708,19122.01
23709,17643.43
23710,16429.34
23711,15367.38
23712,14722.68
23713,14435.54
23714,14294.04
23715,14426.03
23716,14487.98
23717,14859.6
23718,16058.53
23719,17392.76
23720,17624.78
23721,17244.36
23722,17053.3
23723,16886.79
23724,16934.0
23725,17061.63
23726,17116.61
23727,17440.1
23728,17695.7
23729,17780.3
23730,18492.26
23731,18158.33
23732,16824.93
23733,15758.91
23734,14732.69
23735,13808.99
23736,13228.09
23737,12805.55
23738,12615.99
23739,12657.33
23740,12822.34
23741,12836.36
23742,13848.74
23743,15128.28
23744,15804.09
23745,15651.45
23746,15525.61
23747,15621.85
23748,15748.45
23749,15936.81
23750,16014.69
23751,16364.76
23752,16485.58
23753,16911.76
23754,18146.6
23755,17896.76
23756,16673.23
23757,15595.03
23758,14691.89
23759,13981.05
23760,13570.56
